RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR
143,UTEP,CUSA,33,18,105.8,104,0.5501,49.3,52.4,16.6
144,Virginia Tech,ACC,32,13,106.5,104.7,0.5493,51.2,52.3,20.1
145,Wofford,SC,34,19,111.5,109.7,0.5466,53.3,51.8,16.9
146,Miami OH,MAC,34,25,107.8,106.4,0.5364,55.4,51.3,17.4
147,UC Santa Barbara,BW,34,21,108.7,107.3,0.5353,54.6,48.9,18.2
148,Loyola Marymount,WCC,32,17,104.2,103.1,0.53,50.2,48.5,15.2
149,Robert Morris,Horz,34,26,105.9,105,0.5238,51.3,50.3,18.5
150,Texas A&M Corpus Chris,Slnd,34,20,105.8,105,0.5237,52.8,49.9,17.8
151,UC Riverside,BW,33,21,109.9,109,0.5225,49.5,51.4,15.8
152,San Jose St.,MWC,34,15,106.9,106.1,0.522,50.6,51.9,17.4
153,Bryant,AE,34,23,105.8,105.3,0.5112,51,47.7,16.5
154,Radford,BSth,33,20,109.8,109.3,0.5108,51.1,51,17.7
155,Sam Houston St.,CUSA,32,13,110.3,109.9,0.5102,51,53.1,18.3
156,Cal Baptist,WAC,32,17,105,104.6,0.5098,48.3,50.1,17.7
157,Temple,Amer,32,17,110.5,110.4,0.5026,49.9,50.6,15.7
158,James Madison,SB,32,20,110,110,0.5013,50.7,50.9,15.8
159,Western Kentucky,CUSA,32,17,103.1,103.1,0.501,47.9,47.4,15.5
160,Rhode Island,A10,31,18,107.6,107.7,0.4973,52.8,49.3,17.9
161,Charleston,CAA,33,24,105.2,105.3,0.4969,52.4,50.1,16.2
162,Murray St.,MVC,33,16,104.7,104.9,0.4957,49.3,51.2,16.9
163,Milwaukee,Horz,32,21,106,106.3,0.4931,51.4,51.5,19.4
164,Appalachian St.,SB,31,17,100.5,100.9,0.4885,49.6,46.1,16.9
165,Florida Gulf Coast,ASun,32,18,107.4,108.1,0.4831,53.9,50.5,16.2
166,East Tennessee St.,SC,32,19,104.8,105.5,0.4824,50.3,50.3,16.1
167,Towson,CAA,33,22,106,106.8,0.4801,47.9,50.8,14.5
168,Nicholls St.,Slnd,33,20,105.5,106.2,0.4801,48.1,48.1,15.3
169,Winthrop,BSth,34,23,107.4,108.2,0.4781,53.3,51.4,17.7
170,UNC Greensboro,SC,32,20,105.4,106.2,0.478,50.7,47.8,15.3
171,Marshall,SB,33,20,105.6,106.6,0.4739,49.9,49.3,16.5
172,Boston College,ACC,31,12,105.2,106.2,0.4713,48.9,51.9,17.3
173,Cleveland St.,Horz,33,21,102.6,103.6,0.47,49.3,50.6,18.3
174,Lamar,Slnd,33,20,101.2,102.3,0.4695,47.2,47.6,19
175,Purdue Fort Wayne,Horz,32,19,107.5,108.8,0.4643,54.7,53.3,13.8
176,Dartmouth,Ivy,28,14,100.5,101.8,0.4627,50.3,49.1,16.2
177,Eastern Kentucky,ASun,32,18,109.4,110.8,0.4619,49.7,52.6,13.8
178,Cal Poly,BW,35,16,108.9,110.5,0.4585,55.2,53.2,20.7
179,Rice,Amer,32,13,106.3,107.9,0.4579,48.6,47.8,17.8
180,Southern Illinois,MVC,33,14,106.1,107.7,0.4572,51.6,52.6,18.3
181,UTSA,Amer,31,12,107,108.8,0.4507,49.7,53.3,15.7
182,East Carolina,Amer,33,19,106.3,108.2,0.449,48.4,51.7,15.6
183,Portland St.,BSky,32,19,100.8,102.7,0.4483,50.5,50,18.4
184,Miami FL,ACC,31,7,112.5,114.6,0.4479,51.9,57.4,16
185,Drexel,CAA,33,18,103.6,105.6,0.4473,52.2,47.8,18.6
186,Ohio,MAC,32,16,106.4,108.4,0.4473,53.4,52.3,14.9
187,Montana St.,BSky,33,15,104.7,106.7,0.4462,52.8,48.8,15.1
188,South Carolina St.,MEAC,33,20,102.4,104.4,0.4449,50.8,50.1,19.9
189,Wyoming,MWC,32,12,103.1,105.2,0.443,50.3,51,19.9
190,Jacksonville,ASun,32,19,101.2,103.6,0.4346,50.1,50.7,19.3
191,Illinois Chicago,MVC,32,18,105.4,107.9,0.4336,51.1,51.6,17.5
192,Queens,ASun,33,19,105.9,108.5,0.432,52.3,51.7,18
193,Oakland,Horz,34,16,106.3,108.9,0.431,50.1,51.4,18
194,Central Connecticut,NEC,32,25,99,101.5,0.4277,52.2,47.7,17.2
195,Norfolk St.,MEAC,34,24,106.2,109,0.4254,52.4,49.7,18.3
196,Northeastern,CAA,32,17,103.9,106.9,0.418,51.1,50.3,18.6
197,Southeast Missouri St.,OVC,33,21,101.5,104.5,0.4175,51.3,47.6,15.4
198,Pepperdine,WCC,35,13,106.3,109.5,0.4163,49.6,52.5,16.1
199,Merrimack,MAAC,33,18,98.3,101.3,0.4163,49.4,46.9,13.8
200,Abilene Christian,WAC,32,16,98,101,0.4146,46.7,51.4,20.7
201,Brown,Ivy,27,14,102.4,105.6,0.4117,51.1,49.3,17.1
202,South Florida,Amer,32,13,102.3,105.5,0.411,49.7,49.7,16.2
203,Indiana St.,MVC,32,14,108.3,112.1,0.4017,54.6,54.3,19.5
204,Hampton,CAA,33,17,103.3,107,0.3979,47.5,52.6,16
205,Idaho St.,BSky,30,15,105.8,109.8,0.3965,47.8,54.1,16.3
206,Princeton,Ivy,30,19,103.2,107.1,0.3955,51.5,53.4,15.2
207,Missouri St.,MVC,32,9,101.7,105.6,0.3947,50.9,54.7,20.7
208,Southeastern Louisiana,Slnd,32,18,104.1,108.1,0.3932,49.2,51.4,17.4
209,La Salle,A10,33,14,103.3,107.3,0.3921,46.1,52.6,15.5
210,Texas St.,SB,32,16,108.1,112.4,0.3899,50.7,49.9,18.1
211,Quinnipiac,MAAC,33,20,101.8,105.9,0.3899,48.4,49.5,17.9
212,Massachusetts,A10,32,12,101.6,105.7,0.3891,45.1,49.8,16.1
213,Youngstown St.,Horz,34,21,102.3,106.4,0.3879,49.8,48.8,17.6
214,Bucknell,Pat,33,18,103.4,107.7,0.3856,53.8,50.3,18.6
215,Southern,SWAC,32,20,98.5,102.7,0.3836,47.2,49.2,18.5
216,Fordham,A10,33,12,106.3,110.9,0.381,48.6,52.8,18.4
217,Seton Hall,BE,32,7,97.5,101.7,0.3809,44.7,54.6,19.1
218,SIU Edwardsville,OVC,33,22,101.3,105.7,0.3796,48.9,47.5,17.1
219,Valparaiso,MVC,34,15,105.1,109.8,0.3789,47.7,53.7,14
220,Wright St.,Horz,33,15,108.5,113.3,0.3785,56.3,53.2,17.8
221,William & Mary,CAA,32,17,106.4,111.2,0.3761,53.7,53.5,18.1
222,Central Michigan,MAC,31,14,104.7,109.4,0.3754,49.8,53.1,17.6
223,Campbell,CAA,32,15,101.2,105.9,0.3724,50,52.4,15.8
224,Richmond,A10,32,10,103.5,108.4,0.372,48.4,52.7,15.4
225,Northwestern St.,Slnd,32,16,102,107,0.3667,48.7,49.8,20.2
226,UNC Asheville,BSth,32,21,107.1,112.3,0.3666,52,53.4,14.8
227,Hofstra,CAA,33,15,97.8,102.5,0.3662,48.9,45.9,17.6
228,Elon,CAA,32,17,106,111.3,0.3627,50.2,48.1,19
229,UMKC,Sum,33,13,100.5,105.5,0.3624,48.4,51.2,18.6
230,Longwood,BSth,32,18,105,110.3,0.3608,51.3,55.9,18
231,Hawaii,BW,31,15,102.1,107.4,0.3606,50.6,49.5,20.7
232,Tennessee St.,OVC,33,17,102.9,108.2,0.3602,51.3,48.8,21.1
233,Vermont,AE,33,21,99.5,104.7,0.3577,49,48.8,17.3
234,Maine,AE,34,20,99,104.2,0.3572,51.6,50.4,15.5
235,Delaware,CAA,36,16,108.9,114.6,0.3563,55.1,52.2,16.6
236,UT Rio Grande Valley,Slnd,31,16,104.5,110,0.3561,51.7,51.4,19.2
237,South Dakota,Sum,33,19,108.4,114.2,0.3522,50.1,54.8,12.6
238,Harvard,Ivy,27,12,102,107.8,0.3451,50.6,52.2,18
239,UT Arlington,WAC,31,13,106.4,112.5,0.3443,51.7,50.4,19.2
240,Tulsa,Amer,33,13,101.9,107.9,0.3415,49.5,49.7,16.9
241,North Dakota,Sum,33,12,107.9,114.4,0.3388,49.7,56.5,16.6
242,Iona,MAAC,34,17,99.4,105.4,0.3361,47.5,51.7,20.9
243,American,Pat,34,22,101.2,107.4,0.3354,51.8,52.1,16.8
244,UC Davis,BW,32,15,97.4,103.4,0.3352,46.3,50,19.7
245,Incarnate Word,Slnd,33,17,105.2,111.8,0.3314,51.1,52,18.1
246,Georgia St.,SB,33,14,107.2,113.9,0.3304,50.4,51,16.9
247,Northern Arizona,BSky,33,18,103.7,110.2,0.3302,50.3,53.3,15.4
248,Sacred Heart,MAAC,33,15,105,111.8,0.3274,51,51.8,17.7
249,Georgia Southern,SB,33,17,102.9,109.6,0.3274,50.6,50.1,19
250,Northern Kentucky,Horz,33,17,102.6,109.4,0.3217,49.8,52.5,17.3
251,Portland,WCC,32,12,106.3,113.5,0.3211,50.1,54.6,18
252,Idaho,BSky,33,14,107.9,115.2,0.3207,51.8,54,17.9
253,Toledo,MAC,33,18,110.8,118.5,0.3156,50.5,56.4,13.7
254,Little Rock,OVC,33,19,98,104.9,0.3146,49.5,46.7,20.4
255,Cal St. Bakersfield,BW,33,14,105.3,112.8,0.3129,48.2,54.3,18.8
256,Presbyterian,BSth,32,14,103.1,110.5,0.3113,51.2,52.5,16.3
